E_lab	E*/MeV	173Au	174Au	175Au	176Au	177Au	178Au	179Au
441.133	71.0	0.000E+00	0.135E-02	0.329E+00	0.338E+00	0.120E-01	0.187E-04	0.000E+00
443.090	72.0	0.000E+00	0.233E-02	0.329E+00	0.264E+00	0.807E-02	0.107E-04	0.000E+00
445.046	73.0	0.000E+00	0.375E-02	0.322E+00	0.204E+00	0.540E-02	0.576E-05	0.000E+00
447.003	74.0	0.836E-07	0.569E-02	0.308E+00	0.157E+00	0.360E-02	0.283E-05	0.000E+00
448.959	75.0	0.330E-06	0.819E-02	0.289E+00	0.119E+00	0.239E-02	0.122E-05	0.000E+00
450.916	76.0	0.110E-05	0.112E-01	0.266E+00	0.893E-01	0.158E-02	0.000E+00	0.000E+00
452.872	77.0	0.315E-05	0.148E-01	0.240E+00	0.666E-01	0.104E-02	0.000E+00	0.000E+00
454.829	78.0	0.798E-05	0.187E-01	0.214E+00	0.493E-01	0.678E-03	0.000E+00	0.000E+00
456.785	79.0	0.181E-04	0.228E-01	0.187E+00	0.362E-01	0.442E-03	0.000E+00	0.000E+00
458.742	80.0	0.375E-04	0.270E-01	0.161E+00	0.265E-01	0.287E-03	0.000E+00	0.000E+00
