E_lab	E*/MeV	192At	193At	194At	195At	196At	197At	198At
212.265	33.0	0.000E+00	0.000E+00	0.000E+00	0.151E-09	0.505E-09	0.233E-13	0.000E+00
213.612	34.0	0.000E+00	0.000E+00	0.000E+00	0.882E-09	0.953E-09	0.358E-13	0.000E+00
214.959	35.0	0.000E+00	0.000E+00	0.000E+00	0.139E-06	0.154E-06	0.623E-10	0.000E+00
216.305	36.0	0.000E+00	0.000E+00	0.000E+00	0.153E-05	0.148E-05	0.807E-09	0.000E+00
217.652	37.0	0.000E+00	0.000E+00	0.000E+00	0.640E-05	0.336E-05	0.964E-09	0.000E+00
218.999	38.0	0.000E+00	0.000E+00	0.000E+00	0.223E-04	0.683E-05	0.000E+00	0.000E+00
220.346	39.0	0.000E+00	0.000E+00	0.000E+00	0.689E-04	0.135E-04	0.000E+00	0.000E+00
221.693	40.0	0.000E+00	0.000E+00	0.105E-09	0.192E-03	0.260E-04	0.000E+00	0.000E+00
223.040	41.0	0.000E+00	0.000E+00	0.716E-08	0.478E-03	0.475E-04	0.000E+00	0.000E+00
224.387	42.0	0.000E+00	0.000E+00	0.182E-06	0.984E-03	0.770E-04	0.000E+00	0.000E+00
225.734	43.0	0.000E+00	0.000E+00	0.196E-05	0.152E-02	0.988E-04	0.000E+00	0.000E+00
227.081	44.0	0.000E+00	0.000E+00	0.101E-04	0.170E-02	0.953E-04	0.000E+00	0.000E+00
228.428	45.0	0.000E+00	0.000E+00	0.312E-04	0.150E-02	0.730E-04	0.000E+00	0.000E+00
229.775	46.0	0.000E+00	0.000E+00	0.713E-04	0.114E-02	0.484E-04	0.000E+00	0.000E+00
231.122	47.0	0.000E+00	0.000E+00	0.134E-03	0.802E-03	0.296E-04	0.000E+00	0.000E+00
232.469	48.0	0.000E+00	0.000E+00	0.217E-03	0.536E-03	0.173E-04	0.000E+00	0.000E+00
233.816	49.0	0.000E+00	0.000E+00	0.306E-03	0.349E-03	0.986E-05	0.000E+00	0.000E+00
235.163	50.0	0.000E+00	0.197E-09	0.384E-03	0.224E-03	0.549E-05	0.000E+00	0.000E+00
236.510	51.0	0.000E+00	0.248E-08	0.436E-03	0.142E-03	0.301E-05	0.000E+00	0.000E+00
