E_lab	E*/MeV	255Md	256Md	257Md	258Md	259Md	260Md	261Md
101.739	60.0	0.423E-06	0.460E-07	0.000E+00	0.706E-09	0.000E+00	0.115E-10	0.000E+00
102.799	61.0	0.325E-06	0.298E-07	0.293E-10	0.787E-09	0.000E+00	0.732E-11	0.000E+00
103.860	62.0	0.244E-06	0.192E-07	0.715E-10	0.842E-09	0.000E+00	0.456E-11	0.000E+00
104.920	63.0	0.180E-06	0.123E-07	0.212E-09	0.866E-09	0.000E+00	0.281E-11	0.000E+00
105.981	64.0	0.131E-06	0.779E-08	0.340E-09	0.840E-09	0.000E+00	0.168E-11	0.000E+00
107.041	65.0	0.939E-07	0.493E-08	0.486E-09	0.739E-09	0.000E+00	0.801E-12	0.000E+00
108.102	66.0	0.665E-07	0.309E-08	0.659E-09	0.544E-09	0.000E+00	0.179E-12	0.000E+00
109.162	67.0	0.465E-07	0.191E-08	0.115E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
110.223	68.0	0.323E-07	0.117E-08	0.152E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
111.283	69.0	0.222E-07	0.692E-09	0.187E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
112.344	70.0	0.151E-07	0.433E-09	0.198E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
113.404	71.0	0.103E-07	0.234E-09	0.186E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
114.465	72.0	0.690E-08	0.123E-09	0.169E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
115.525	73.0	0.461E-08	0.130E-09	0.149E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
116.585	74.0	0.307E-08	0.178E-09	0.860E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
117.646	75.0	0.203E-08	0.232E-09	0.764E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
118.706	76.0	0.134E-08	0.307E-09	0.613E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
119.767	77.0	0.892E-09	0.473E-09	0.249E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
120.827	78.0	0.583E-09	0.694E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
121.888	79.0	0.418E-09	0.779E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
122.948	80.0	0.315E-09	0.897E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
124.009	81.0	0.229E-09	0.879E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
125.069	82.0	0.194E-09	0.899E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
126.130	83.0	0.227E-09	0.765E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
127.190	84.0	0.377E-09	0.592E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
128.251	85.0	0.441E-09	0.453E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
129.311	86.0	0.543E-09	0.418E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
130.372	87.0	0.647E-09	0.316E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
131.432	88.0	0.657E-09	0.244E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
132.493	89.0	0.693E-09	0.127E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
133.553	90.0	0.616E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
