E_lab E*/MeV 191At 192At 193At 194At 195At 196At 197At
219.661 17.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.166E-07 0.499E-10
221.058 18.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.945E-07 0.970E-10
222.455 19.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.353E-06 0.183E-09
223.852 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.123E-09 0.110E-05 0.326E-09
225.249 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.860E-08 0.311E-05 0.534E-09
226.647 22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.212E-06 0.832E-05 0.573E-09
228.044 23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.272E-05 0.208E-04 0.000E+00
229.441 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.223E-04 0.462E-04 0.000E+00
230.838 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.120E-03 0.823E-04 0.000E+00
232.235 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.416E-03 0.113E-03 0.000E+00
233.632 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.967E-03 0.124E-03 0.000E+00
235.030 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.159E-02 0.117E-03 0.000E+00
236.427 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.207E-02 0.996E-04 0.000E+00
237.824 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.227E-02 0.777E-04 0.000E+00
239.221 31.0 0.000E+00 0.000E+00 0.000E+00 0.173E-07 0.220E-02 0.567E-04 0.000E+00
240.618 32.0 0.000E+00 0.000E+00 0.000E+00 0.432E-06 0.194E-02 0.390E-04 0.000E+00
242.015 33.0 0.000E+00 0.000E+00 0.000E+00 0.406E-05 0.159E-02 0.255E-04 0.000E+00
243.413 34.0 0.000E+00 0.000E+00 0.000E+00 0.200E-04 0.122E-02 0.160E-04 0.000E+00
244.810 35.0 0.000E+00 0.000E+00 0.000E+00 0.638E-04 0.879E-03 0.953E-05 0.000E+00
246.207 36.0 0.000E+00 0.000E+00 0.000E+00 0.157E-03 0.605E-03 0.537E-05 0.000E+00
247.604 37.0 0.000E+00 0.000E+00 0.000E+00 0.319E-03 0.399E-03 0.284E-05 0.000E+00
249.001 38.0 0.000E+00 0.000E+00 0.000E+00 0.552E-03 0.253E-03 0.127E-05 0.000E+00
250.398 39.0 0.000E+00 0.000E+00 0.000E+00 0.804E-03 0.156E-03 0.000E+00 0.000E+00
251.796 40.0 0.000E+00 0.000E+00 0.142E-09 0.993E-03 0.936E-04 0.000E+00 0.000E+00
253.193 41.0 0.000E+00 0.000E+00 0.373E-08 0.106E-02 0.550E-04 0.000E+00 0.000E+00
254.590 42.0 0.000E+00 0.000E+00 0.405E-07 0.102E-02 0.317E-04 0.000E+00 0.000E+00
255.987 43.0 0.000E+00 0.000E+00 0.250E-06 0.897E-03 0.181E-04 0.000E+00 0.000E+00
257.384 44.0 0.000E+00 0.000E+00 0.103E-05 0.737E-03 0.102E-04 0.000E+00 0.000E+00
258.781 45.0 0.000E+00 0.000E+00 0.312E-05 0.575E-03 0.564E-05 0.000E+00 0.000E+00
260.179 46.0 0.000E+00 0.000E+00 0.754E-05 0.430E-03 0.313E-05 0.000E+00 0.000E+00
261.576 47.0 0.000E+00 0.000E+00 0.149E-04 0.311E-03 0.169E-05 0.000E+00 0.000E+00
262.973 48.0 0.000E+00 0.000E+00 0.248E-04 0.219E-03 0.882E-06 0.000E+00 0.000E+00
264.370 49.0 0.000E+00 0.000E+00 0.350E-04 0.150E-03 0.435E-06 0.000E+00 0.000E+00
265.767 50.0 0.000E+00 0.000E+00 0.433E-04 0.102E-03 0.145E-06 0.000E+00 0.000E+00
267.164 51.0 0.000E+00 0.000E+00 0.479E-04 0.678E-04 0.000E+00 0.000E+00 0.000E+00
268.562 52.0 0.000E+00 0.130E-10 0.487E-04 0.446E-04 0.000E+00 0.000E+00 0.000E+00
269.959 53.0 0.000E+00 0.173E-09 0.461E-04 0.290E-04 0.000E+00 0.000E+00 0.000E+00
271.356 54.0 0.000E+00 0.135E-08 0.412E-04 0.187E-04 0.000E+00 0.000E+00 0.000E+00
272.753 55.0 0.000E+00 0.705E-08 0.351E-04 0.120E-04 0.000E+00 0.000E+00 0.000E+00
274.150 56.0 0.000E+00 0.268E-07 0.288E-04 0.764E-05 0.000E+00 0.000E+00 0.000E+00
275.547 57.0 0.000E+00 0.802E-07 0.229E-04 0.484E-05 0.000E+00 0.000E+00 0.000E+00
276.945 58.0 0.000E+00 0.199E-06 0.177E-04 0.305E-05 0.000E+00 0.000E+00 0.000E+00
278.342 59.0 0.000E+00 0.422E-06 0.134E-04 0.191E-05 0.000E+00 0.000E+00 0.000E+00
279.739 60.0 0.000E+00 0.779E-06 0.990E-05 0.120E-05 0.000E+00 0.000E+00 0.000E+00
281.136 61.0 0.000E+00 0.127E-05 0.722E-05 0.744E-06 0.000E+00 0.000E+00 0.000E+00
282.533 62.0 0.000E+00 0.184E-05 0.518E-05 0.460E-06 0.000E+00 0.000E+00 0.000E+00
283.930 63.0 0.250E-11 0.242E-05 0.368E-05 0.284E-06 0.000E+00 0.000E+00 0.000E+00
285.327 64.0 0.184E-10 0.292E-05 0.258E-05 0.173E-06 0.000E+00 0.000E+00 0.000E+00
286.725 65.0 0.993E-10 0.328E-05 0.179E-05 0.101E-06 0.000E+00 0.000E+00 0.000E+00
288.122 66.0 0.411E-09 0.348E-05 0.124E-05 0.562E-07 0.000E+00 0.000E+00 0.000E+00
289.519 67.0 0.136E-08 0.350E-05 0.847E-06 0.294E-07 0.000E+00 0.000E+00 0.000E+00
290.916 68.0 0.369E-08 0.336E-05 0.576E-06 0.817E-08 0.000E+00 0.000E+00 0.000E+00
292.313 69.0 0.842E-08 0.311E-05 0.390E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
293.710 70.0 0.165E-07 0.279E-05 0.262E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
295.108 71.0 0.285E-07 0.243E-05 0.176E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
296.505 72.0 0.441E-07 0.206E-05 0.117E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
297.902 73.0 0.619E-07 0.172E-05 0.779E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
