E_lab	E*/MeV	197At	198At	199At	200At	201At	202At	203At
182.760	44.0	0.000E+00	0.000E+00	0.649E-07	0.491E-07	0.109E-09	0.000E+00	0.000E+00
184.037	45.0	0.000E+00	0.000E+00	0.242E-06	0.113E-06	0.194E-09	0.000E+00	0.000E+00
185.314	46.0	0.000E+00	0.000E+00	0.503E-04	0.515E-04	0.540E-06	0.000E+00	0.000E+00
186.591	47.0	0.000E+00	0.576E-10	0.256E-03	0.195E-03	0.208E-05	0.000E+00	0.000E+00
187.867	48.0	0.000E+00	0.392E-08	0.952E-03	0.496E-03	0.446E-05	0.000E+00	0.000E+00
189.144	49.0	0.000E+00	0.130E-06	0.330E-02	0.117E-02	0.861E-05	0.000E+00	0.000E+00
190.421	50.0	0.000E+00	0.257E-05	0.108E-01	0.267E-02	0.163E-04	0.000E+00	0.000E+00
191.697	51.0	0.000E+00	0.330E-04	0.332E-01	0.588E-02	0.302E-04	0.000E+00	0.000E+00
192.974	52.0	0.000E+00	0.280E-03	0.902E-01	0.119E-01	0.527E-04	0.000E+00	0.000E+00
194.251	53.0	0.000E+00	0.151E-02	0.196E+00	0.203E-01	0.801E-04	0.000E+00	0.000E+00
195.528	54.0	0.000E+00	0.502E-02	0.313E+00	0.266E-01	0.964E-04	0.000E+00	0.000E+00
196.804	55.0	0.000E+00	0.111E-01	0.371E+00	0.267E-01	0.901E-04	0.000E+00	0.000E+00
198.081	56.0	0.000E+00	0.187E-01	0.358E+00	0.221E-01	0.684E-04	0.000E+00	0.000E+00
199.358	57.0	0.530E-07	0.271E-01	0.306E+00	0.162E-01	0.451E-04	0.000E+00	0.000E+00
200.635	58.0	0.506E-06	0.358E-01	0.243E+00	0.110E-01	0.271E-04	0.000E+00	0.000E+00
201.911	59.0	0.327E-05	0.444E-01	0.184E+00	0.715E-02	0.152E-04	0.000E+00	0.000E+00
203.188	60.0	0.153E-04	0.522E-01	0.136E+00	0.454E-02	0.792E-05	0.000E+00	0.000E+00
204.465	61.0	0.547E-04	0.585E-01	0.985E-01	0.284E-02	0.351E-05	0.000E+00	0.000E+00
205.742	62.0	0.156E-03	0.628E-01	0.702E-01	0.177E-02	0.000E+00	0.000E+00	0.000E+00
207.018	63.0	0.368E-03	0.647E-01	0.494E-01	0.109E-02	0.000E+00	0.000E+00	0.000E+00
208.295	64.0	0.748E-03	0.641E-01	0.344E-01	0.673E-03	0.000E+00	0.000E+00	0.000E+00
209.572	65.0	0.135E-02	0.613E-01	0.237E-01	0.413E-03	0.000E+00	0.000E+00	0.000E+00
210.848	66.0	0.220E-02	0.566E-01	0.162E-01	0.253E-03	0.000E+00	0.000E+00	0.000E+00
212.125	67.0	0.331E-02	0.508E-01	0.110E-01	0.154E-03	0.000E+00	0.000E+00	0.000E+00
213.402	68.0	0.462E-02	0.443E-01	0.742E-02	0.938E-04	0.000E+00	0.000E+00	0.000E+00
214.679	69.0	0.604E-02	0.377E-01	0.497E-02	0.567E-04	0.000E+00	0.000E+00	0.000E+00
215.955	70.0	0.745E-02	0.314E-01	0.332E-02	0.342E-04	0.000E+00	0.000E+00	0.000E+00
217.232	71.0	0.870E-02	0.256E-01	0.220E-02	0.204E-04	0.000E+00	0.000E+00	0.000E+00
218.509	72.0	0.968E-02	0.206E-01	0.146E-02	0.121E-04	0.000E+00	0.000E+00	0.000E+00
219.786	73.0	0.103E-01	0.162E-01	0.959E-03	0.709E-05	0.000E+00	0.000E+00	0.000E+00
221.062	74.0	0.105E-01	0.126E-01	0.629E-03	0.406E-05	0.000E+00	0.000E+00	0.000E+00
222.339	75.0	0.104E-01	0.968E-02	0.411E-03	0.220E-05	0.000E+00	0.000E+00	0.000E+00
223.616	76.0	0.992E-02	0.734E-02	0.268E-03	0.116E-05	0.000E+00	0.000E+00	0.000E+00
224.892	77.0	0.921E-02	0.551E-02	0.174E-03	0.443E-06	0.000E+00	0.000E+00	0.000E+00
226.169	78.0	0.833E-02	0.410E-02	0.113E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
227.446	79.0	0.736E-02	0.302E-02	0.726E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
228.723	80.0	0.637E-02	0.221E-02	0.466E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
229.999	81.0	0.541E-02	0.160E-02	0.298E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
231.276	82.0	0.452E-02	0.116E-02	0.190E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
232.553	83.0	0.372E-02	0.830E-03	0.120E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
233.830	84.0	0.301E-02	0.592E-03	0.751E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
235.106	85.0	0.241E-02	0.420E-03	0.468E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
236.383	86.0	0.191E-02	0.297E-03	0.285E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
237.660	87.0	0.150E-02	0.209E-03	0.172E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
238.936	88.0	0.116E-02	0.146E-03	0.993E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
240.213	89.0	0.895E-03	0.102E-03	0.529E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
241.490	90.0	0.683E-03	0.710E-04	0.259E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
