E_lab	E*/MeV	255Ha	256Ha	257Ha	258Ha	259Ha	260Ha	261Ha
267.639	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.810E-10	0.205E-06	0.326E-08
268.899	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.333E-09	0.219E-06	0.155E-08
270.159	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.106E-08	0.204E-06	0.722E-09
271.418	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.271E-08	0.168E-06	0.321E-09
272.678	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.572E-08	0.125E-06	0.117E-09
273.937	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-07	0.858E-07	0.000E+00
275.197	33.0	0.000E+00	0.000E+00	0.000E+00	0.782E-14	0.154E-07	0.553E-07	0.000E+00
276.457	34.0	0.000E+00	0.000E+00	0.000E+00	0.840E-13	0.201E-07	0.338E-07	0.000E+00
277.716	35.0	0.000E+00	0.000E+00	0.000E+00	0.571E-12	0.230E-07	0.199E-07	0.000E+00
278.976	36.0	0.000E+00	0.000E+00	0.000E+00	0.281E-11	0.234E-07	0.114E-07	0.000E+00
280.235	37.0	0.000E+00	0.000E+00	0.000E+00	0.107E-10	0.215E-07	0.634E-08	0.000E+00
281.495	38.0	0.000E+00	0.000E+00	0.000E+00	0.336E-10	0.181E-07	0.348E-08	0.000E+00
282.755	39.0	0.000E+00	0.000E+00	0.000E+00	0.885E-10	0.142E-07	0.188E-08	0.000E+00
284.014	40.0	0.000E+00	0.000E+00	0.000E+00	0.201E-09	0.105E-07	0.101E-08	0.000E+00
285.274	41.0	0.000E+00	0.000E+00	0.891E-15	0.399E-09	0.745E-08	0.536E-09	0.000E+00
286.534	42.0	0.000E+00	0.000E+00	0.709E-14	0.702E-09	0.507E-08	0.283E-09	0.000E+00
287.793	43.0	0.000E+00	0.000E+00	0.429E-13	0.110E-08	0.334E-08	0.147E-09	0.000E+00
289.053	44.0	0.000E+00	0.000E+00	0.196E-12	0.155E-08	0.215E-08	0.729E-10	0.000E+00
290.312	45.0	0.000E+00	0.000E+00	0.727E-12	0.198E-08	0.135E-08	0.239E-10	0.000E+00
291.572	46.0	0.000E+00	0.000E+00	0.226E-11	0.230E-08	0.837E-09	0.000E+00	0.000E+00
292.832	47.0	0.000E+00	0.000E+00	0.600E-11	0.247E-08	0.511E-09	0.000E+00	0.000E+00
294.091	48.0	0.000E+00	0.000E+00	0.138E-10	0.247E-08	0.309E-09	0.000E+00	0.000E+00
295.351	49.0	0.000E+00	0.000E+00	0.280E-10	0.232E-08	0.185E-09	0.000E+00	0.000E+00
296.610	50.0	0.000E+00	0.000E+00	0.503E-10	0.206E-08	0.110E-09	0.000E+00	0.000E+00
297.870	51.0	0.000E+00	0.000E+00	0.809E-10	0.175E-08	0.641E-10	0.000E+00	0.000E+00
299.130	52.0	0.000E+00	0.876E-15	0.118E-09	0.143E-08	0.372E-10	0.000E+00	0.000E+00
300.389	53.0	0.000E+00	0.410E-14	0.157E-09	0.113E-08	0.208E-10	0.000E+00	0.000E+00
301.649	54.0	0.000E+00	0.160E-13	0.193E-09	0.863E-09	0.106E-10	0.000E+00	0.000E+00
302.909	55.0	0.000E+00	0.532E-13	0.220E-09	0.644E-09	0.144E-11	0.000E+00	0.000E+00
304.168	56.0	0.000E+00	0.155E-12	0.235E-09	0.470E-09	0.000E+00	0.000E+00	0.000E+00
305.428	57.0	0.000E+00	0.397E-12	0.238E-09	0.337E-09	0.000E+00	0.000E+00	0.000E+00
306.687	58.0	0.000E+00	0.910E-12	0.230E-09	0.237E-09	0.000E+00	0.000E+00	0.000E+00
307.947	59.0	0.000E+00	0.188E-11	0.212E-09	0.165E-09	0.000E+00	0.000E+00	0.000E+00
309.207	60.0	0.438E-16	0.353E-11	0.189E-09	0.113E-09	0.000E+00	0.000E+00	0.000E+00
310.466	61.0	0.205E-15	0.607E-11	0.163E-09	0.768E-10	0.000E+00	0.000E+00	0.000E+00
311.726	62.0	0.825E-15	0.959E-11	0.136E-09	0.517E-10	0.000E+00	0.000E+00	0.000E+00
312.985	63.0	0.282E-14	0.140E-10	0.111E-09	0.344E-10	0.000E+00	0.000E+00	0.000E+00
314.245	64.0	0.842E-14	0.192E-10	0.883E-10	0.227E-10	0.000E+00	0.000E+00	0.000E+00
315.505	65.0	0.223E-13	0.245E-10	0.690E-10	0.148E-10	0.000E+00	0.000E+00	0.000E+00
316.764	66.0	0.528E-13	0.296E-10	0.530E-10	0.953E-11	0.000E+00	0.000E+00	0.000E+00
318.024	67.0	0.113E-12	0.339E-10	0.400E-10	0.586E-11	0.000E+00	0.000E+00	0.000E+00
319.284	68.0	0.219E-12	0.370E-10	0.298E-10	0.349E-11	0.000E+00	0.000E+00	0.000E+00
320.543	69.0	0.390E-12	0.388E-10	0.219E-10	0.126E-11	0.000E+00	0.000E+00	0.000E+00
321.803	70.0	0.642E-12	0.391E-10	0.160E-10	0.196E-12	0.000E+00	0.000E+00	0.000E+00
323.062	71.0	0.980E-12	0.381E-10	0.115E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00
324.322	72.0	0.140E-11	0.361E-10	0.821E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00
325.582	73.0	0.188E-11	0.332E-10	0.580E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00
326.841	74.0	0.240E-11	0.296E-10	0.407E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00
328.101	75.0	0.290E-11	0.260E-10	0.276E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00
329.360	76.0	0.336E-11	0.224E-10	0.188E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00
330.620	77.0	0.374E-11	0.189E-10	0.126E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00
331.880	78.0	0.402E-11	0.157E-10	0.597E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00
333.139	79.0	0.417E-11	0.128E-10	0.221E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00
334.399	80.0	0.420E-11	0.104E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
