E_lab	E*/MeV	190Po	191Po	192Po	193Po	194Po	195Po	196Po
255.987	43.0	0.000E+00	0.000E+00	0.000E+00	0.543E-04	0.865E-02	0.770E-03	0.000E+00
257.384	44.0	0.000E+00	0.000E+00	0.000E+00	0.114E-03	0.734E-02	0.510E-03	0.000E+00
258.781	45.0	0.000E+00	0.000E+00	0.000E+00	0.217E-03	0.592E-02	0.330E-03	0.000E+00
260.179	46.0	0.000E+00	0.000E+00	0.000E+00	0.376E-03	0.458E-02	0.208E-03	0.000E+00
261.576	47.0	0.000E+00	0.000E+00	0.898E-09	0.595E-03	0.342E-02	0.129E-03	0.000E+00
262.973	48.0	0.000E+00	0.000E+00	0.569E-08	0.866E-03	0.248E-02	0.788E-04	0.000E+00
264.370	49.0	0.000E+00	0.000E+00	0.290E-07	0.116E-02	0.175E-02	0.475E-04	0.000E+00
265.767	50.0	0.000E+00	0.000E+00	0.122E-06	0.144E-02	0.121E-02	0.283E-04	0.000E+00
267.164	51.0	0.000E+00	0.000E+00	0.431E-06	0.167E-02	0.825E-03	0.167E-04	0.000E+00
268.562	52.0	0.000E+00	0.000E+00	0.129E-05	0.181E-02	0.552E-03	0.972E-05	0.000E+00
269.959	53.0	0.000E+00	0.000E+00	0.337E-05	0.185E-02	0.365E-03	0.562E-05	0.000E+00
271.356	54.0	0.000E+00	0.000E+00	0.770E-05	0.180E-02	0.239E-03	0.322E-05	0.000E+00
272.753	55.0	0.000E+00	0.000E+00	0.157E-04	0.167E-02	0.155E-03	0.182E-05	0.000E+00
274.150	56.0	0.000E+00	0.000E+00	0.286E-04	0.149E-02	0.100E-03	0.994E-06	0.000E+00
275.547	57.0	0.000E+00	0.000E+00	0.471E-04	0.129E-02	0.640E-04	0.520E-06	0.000E+00
276.945	58.0	0.000E+00	0.136E-09	0.710E-04	0.108E-02	0.407E-04	0.238E-06	0.000E+00
278.342	59.0	0.000E+00	0.576E-09	0.983E-04	0.885E-03	0.258E-04	0.000E+00	0.000E+00
279.739	60.0	0.000E+00	0.184E-08	0.126E-03	0.706E-03	0.162E-04	0.000E+00	0.000E+00
281.136	61.0	0.000E+00	0.495E-08	0.151E-03	0.553E-03	0.101E-04	0.000E+00	0.000E+00
282.533	62.0	0.000E+00	0.124E-07	0.170E-03	0.425E-03	0.630E-05	0.000E+00	0.000E+00
283.930	63.0	0.000E+00	0.300E-07	0.184E-03	0.321E-03	0.390E-05	0.000E+00	0.000E+00
285.327	64.0	0.000E+00	0.716E-07	0.187E-03	0.240E-03	0.239E-05	0.000E+00	0.000E+00
286.725	65.0	0.000E+00	0.164E-06	0.183E-03	0.176E-03	0.146E-05	0.000E+00	0.000E+00
288.122	66.0	0.000E+00	0.352E-06	0.173E-03	0.128E-03	0.871E-06	0.000E+00	0.000E+00
289.519	67.0	0.000E+00	0.705E-06	0.157E-03	0.926E-04	0.504E-06	0.000E+00	0.000E+00
290.916	68.0	0.000E+00	0.131E-05	0.139E-03	0.661E-04	0.283E-06	0.000E+00	0.000E+00
292.313	69.0	0.000E+00	0.225E-05	0.120E-03	0.469E-04	0.139E-06	0.000E+00	0.000E+00
293.710	70.0	0.000E+00	0.360E-05	0.102E-03	0.330E-04	0.529E-07	0.000E+00	0.000E+00
295.108	71.0	0.243E-10	0.537E-05	0.841E-04	0.230E-04	0.000E+00	0.000E+00	0.000E+00
296.505	72.0	0.102E-09	0.750E-05	0.684E-04	0.160E-04	0.000E+00	0.000E+00	0.000E+00
297.902	73.0	0.371E-09	0.988E-05	0.547E-04	0.110E-04	0.000E+00	0.000E+00	0.000E+00
299.299	74.0	0.118E-08	0.123E-04	0.431E-04	0.756E-05	0.000E+00	0.000E+00	0.000E+00
300.696	75.0	0.332E-08	0.146E-04	0.335E-04	0.516E-05	0.000E+00	0.000E+00	0.000E+00
302.093	76.0	0.832E-08	0.166E-04	0.258E-04	0.350E-05	0.000E+00	0.000E+00	0.000E+00
303.491	77.0	0.188E-07	0.180E-04	0.196E-04	0.236E-05	0.000E+00	0.000E+00	0.000E+00
304.888	78.0	0.385E-07	0.189E-04	0.148E-04	0.159E-05	0.000E+00	0.000E+00	0.000E+00
306.285	79.0	0.719E-07	0.192E-04	0.111E-04	0.106E-05	0.000E+00	0.000E+00	0.000E+00
307.682	80.0	0.124E-06	0.189E-04	0.819E-05	0.703E-06	0.000E+00	0.000E+00	0.000E+00
