E_lab E*/MeV 256Sg 257Sg 258Sg 259Sg 260Sg 261Sg 262Sg
290.312 45.0 0.000E+00 0.211E-10 0.261E-08 0.105E-08 0.000E+00 0.000E+00 0.000E+00
291.572 46.0 0.000E+00 0.516E-10 0.186E-08 0.588E-09 0.000E+00 0.000E+00 0.000E+00
292.832 47.0 0.000E+00 0.103E-09 0.130E-08 0.314E-09 0.000E+00 0.000E+00 0.000E+00
294.091 48.0 0.000E+00 0.173E-09 0.882E-09 0.143E-09 0.000E+00 0.000E+00 0.000E+00
295.351 49.0 0.502E-15 0.250E-09 0.589E-09 0.517E-10 0.000E+00 0.000E+00 0.000E+00
296.610 50.0 0.383E-14 0.319E-09 0.387E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
297.870 51.0 0.212E-13 0.368E-09 0.251E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
299.130 52.0 0.884E-13 0.390E-09 0.161E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
300.389 53.0 0.289E-12 0.387E-09 0.102E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
301.649 54.0 0.758E-12 0.363E-09 0.643E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
302.909 55.0 0.164E-11 0.324E-09 0.397E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
304.168 56.0 0.302E-11 0.278E-09 0.234E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
305.428 57.0 0.485E-11 0.231E-09 0.122E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
306.687 58.0 0.692E-11 0.186E-09 0.326E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00
307.947 59.0 0.897E-11 0.146E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
309.207 60.0 0.107E-10 0.112E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
310.466 61.0 0.120E-10 0.849E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
311.726 62.0 0.126E-10 0.630E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
312.985 63.0 0.127E-10 0.461E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
314.245 64.0 0.122E-10 0.333E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
315.505 65.0 0.113E-10 0.238E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
316.764 66.0 0.101E-10 0.168E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
318.024 67.0 0.885E-11 0.118E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
319.284 68.0 0.753E-11 0.815E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
320.543 69.0 0.627E-11 0.558E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
321.803 70.0 0.513E-11 0.366E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
323.062 71.0 0.412E-11 0.232E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
324.322 72.0 0.326E-11 0.641E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
325.582 73.0 0.254E-11 0.159E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
326.841 74.0 0.196E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
328.101 75.0 0.149E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
329.360 76.0 0.112E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
330.620 77.0 0.834E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
331.880 78.0 0.611E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
333.139 79.0 0.428E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
334.399 80.0 0.260E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
335.659 81.0 0.173E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
336.918 82.0 0.905E-13 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
338.178 83.0 0.402E-13 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
339.437 84.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
340.697 85.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
341.957 86.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
343.216 87.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
344.476 88.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
345.735 89.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
346.995 90.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


E_lab E*/MeV 255Ha 256Ha 257Ha 258Ha 259Ha 260Ha 261Ha
262.601 23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.110E-13 0.220E-14
263.860 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.112E-18 0.575E-13 0.296E-14
265.120 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.480E-15 0.254E-10 0.168E-11
266.380 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.123E-13 0.116E-09 0.295E-11
267.639 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.200E-12 0.408E-09 0.430E-11
268.899 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.238E-11 0.124E-08 0.595E-11
270.159 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.221E-10 0.329E-08 0.798E-11
271.418 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.163E-09 0.766E-08 0.101E-10
272.678 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.929E-09 0.153E-07 0.883E-11
273.937 32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.376E-08 0.244E-07 0.000E+00
275.197 33.0 0.000E+00 0.000E+00 0.000E+00 0.547E-14 0.985E-08 0.288E-07 0.000E+00
276.457 34.0 0.000E+00 0.000E+00 0.000E+00 0.750E-13 0.171E-07 0.251E-07 0.000E+00
277.716 35.0 0.000E+00 0.000E+00 0.000E+00 0.556E-12 0.219E-07 0.177E-07 0.000E+00
278.976 36.0 0.000E+00 0.000E+00 0.000E+00 0.280E-11 0.232E-07 0.109E-07 0.000E+00
280.235 37.0 0.000E+00 0.000E+00 0.000E+00 0.108E-10 0.215E-07 0.629E-08 0.000E+00
281.495 38.0 0.000E+00 0.000E+00 0.000E+00 0.337E-10 0.182E-07 0.348E-08 0.000E+00
282.755 39.0 0.000E+00 0.000E+00 0.000E+00 0.886E-10 0.142E-07 0.189E-08 0.000E+00
284.014 40.0 0.000E+00 0.000E+00 0.000E+00 0.201E-09 0.105E-07 0.101E-08 0.000E+00
285.274 41.0 0.000E+00 0.000E+00 0.892E-15 0.399E-09 0.745E-08 0.537E-09 0.000E+00
286.534 42.0 0.000E+00 0.000E+00 0.710E-14 0.702E-09 0.507E-08 0.283E-09 0.000E+00
287.793 43.0 0.000E+00 0.000E+00 0.429E-13 0.110E-08 0.334E-08 0.147E-09 0.000E+00
289.053 44.0 0.000E+00 0.000E+00 0.196E-12 0.155E-08 0.215E-08 0.729E-10 0.000E+00
290.312 45.0 0.000E+00 0.000E+00 0.727E-12 0.198E-08 0.135E-08 0.239E-10 0.000E+00
291.572 46.0 0.000E+00 0.000E+00 0.226E-11 0.230E-08 0.837E-09 0.000E+00 0.000E+00
292.832 47.0 0.000E+00 0.000E+00 0.601E-11 0.247E-08 0.511E-09 0.000E+00 0.000E+00
294.091 48.0 0.000E+00 0.000E+00 0.138E-10 0.247E-08 0.309E-09 0.000E+00 0.000E+00
295.351 49.0 0.000E+00 0.000E+00 0.280E-10 0.232E-08 0.185E-09 0.000E+00 0.000E+00
296.610 50.0 0.000E+00 0.000E+00 0.503E-10 0.206E-08 0.110E-09 0.000E+00 0.000E+00
297.870 51.0 0.000E+00 0.000E+00 0.810E-10 0.175E-08 0.641E-10 0.000E+00 0.000E+00
299.130 52.0 0.000E+00 0.877E-15 0.118E-09 0.143E-08 0.372E-10 0.000E+00 0.000E+00
300.389 53.0 0.000E+00 0.410E-14 0.157E-09 0.113E-08 0.208E-10 0.000E+00 0.000E+00
301.649 54.0 0.000E+00 0.160E-13 0.193E-09 0.864E-09 0.106E-10 0.000E+00 0.000E+00
302.909 55.0 0.000E+00 0.533E-13 0.220E-09 0.644E-09 0.144E-11 0.000E+00 0.000E+00
304.168 56.0 0.000E+00 0.155E-12 0.236E-09 0.470E-09 0.000E+00 0.000E+00 0.000E+00
305.428 57.0 0.000E+00 0.397E-12 0.239E-09 0.337E-09 0.000E+00 0.000E+00 0.000E+00
306.687 58.0 0.000E+00 0.910E-12 0.230E-09 0.237E-09 0.000E+00 0.000E+00 0.000E+00
307.947 59.0 0.000E+00 0.188E-11 0.213E-09 0.165E-09 0.000E+00 0.000E+00 0.000E+00
309.207 60.0 0.438E-16 0.353E-11 0.189E-09 0.113E-09 0.000E+00 0.000E+00 0.000E+00
310.466 61.0 0.205E-15 0.607E-11 0.163E-09 0.768E-10 0.000E+00 0.000E+00 0.000E+00
311.726 62.0 0.825E-15 0.960E-11 0.136E-09 0.517E-10 0.000E+00 0.000E+00 0.000E+00
312.985 63.0 0.282E-14 0.140E-10 0.111E-09 0.344E-10 0.000E+00 0.000E+00 0.000E+00
314.245 64.0 0.842E-14 0.192E-10 0.884E-10 0.227E-10 0.000E+00 0.000E+00 0.000E+00
315.505 65.0 0.223E-13 0.245E-10 0.690E-10 0.148E-10 0.000E+00 0.000E+00 0.000E+00
316.764 66.0 0.528E-13 0.296E-10 0.530E-10 0.953E-11 0.000E+00 0.000E+00 0.000E+00
318.024 67.0 0.113E-12 0.339E-10 0.400E-10 0.586E-11 0.000E+00 0.000E+00 0.000E+00
319.284 68.0 0.219E-12 0.371E-10 0.298E-10 0.349E-11 0.000E+00 0.000E+00 0.000E+00
320.543 69.0 0.390E-12 0.388E-10 0.220E-10 0.126E-11 0.000E+00 0.000E+00 0.000E+00
321.803 70.0 0.642E-12 0.391E-10 0.160E-10 0.196E-12 0.000E+00 0.000E+00 0.000E+00
323.062 71.0 0.980E-12 0.381E-10 0.115E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
324.322 72.0 0.140E-11 0.361E-10 0.822E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00
325.582 73.0 0.188E-11 0.332E-10 0.580E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00
326.841 74.0 0.240E-11 0.297E-10 0.407E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00
328.101 75.0 0.290E-11 0.260E-10 0.276E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00
329.360 76.0 0.337E-11 0.224E-10 0.188E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00
330.620 77.0 0.374E-11 0.189E-10 0.126E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00
331.880 78.0 0.402E-11 0.157E-10 0.598E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00
333.139 79.0 0.417E-11 0.129E-10 0.221E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00
334.399 80.0 0.420E-11 0.104E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
335.659 81.0 0.412E-11 0.827E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
336.918 82.0 0.394E-11 0.652E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
338.178 83.0 0.368E-11 0.509E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
339.437 84.0 0.338E-11 0.393E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
340.697 85.0 0.304E-11 0.301E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
341.957 86.0 0.268E-11 0.228E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
343.216 87.0 0.234E-11 0.172E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
344.476 88.0 0.200E-11 0.128E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
345.735 89.0 0.170E-11 0.941E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
346.995 90.0 0.142E-11 0.672E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


E_lab E*/MeV 254Rf 255Rf 256Rf 257Rf 258Rf 259Rf 260Rf
262.601 23.0 0.000E+00 0.000E+00 0.927E-20 0.336E-14 0.727E-15 0.000E+00 0.214E-18
263.860 24.0 0.000E+00 0.000E+00 0.412E-18 0.164E-13 0.986E-15 0.000E+00 0.155E-17
265.120 25.0 0.000E+00 0.000E+00 0.429E-15 0.723E-11 0.287E-12 0.945E-22 0.869E-15
266.380 26.0 0.000E+00 0.000E+00 0.733E-14 0.339E-10 0.651E-12 0.698E-20 0.529E-14
267.639 27.0 0.000E+00 0.000E+00 0.844E-13 0.124E-09 0.989E-12 0.143E-17 0.259E-13
268.899 28.0 0.000E+00 0.000E+00 0.753E-12 0.395E-09 0.135E-11 0.254E-16 0.111E-12
270.159 29.0 0.000E+00 0.000E+00 0.554E-11 0.110E-08 0.170E-11 0.352E-15 0.422E-12
271.418 30.0 0.000E+00 0.000E+00 0.348E-10 0.268E-08 0.139E-11 0.393E-14 0.141E-11
272.678 31.0 0.000E+00 0.000E+00 0.181E-09 0.553E-08 0.000E+00 0.346E-13 0.395E-11
273.937 32.0 0.000E+00 0.000E+00 0.715E-09 0.898E-08 0.000E+00 0.220E-12 0.856E-11
275.197 33.0 0.000E+00 0.735E-14 0.191E-08 0.107E-07 0.000E+00 0.926E-12 0.131E-10
276.457 34.0 0.000E+00 0.615E-13 0.349E-08 0.941E-08 0.000E+00 0.263E-11 0.145E-10
277.716 35.0 0.000E+00 0.321E-12 0.476E-08 0.673E-08 0.000E+00 0.563E-11 0.125E-10
278.976 36.0 0.000E+00 0.124E-11 0.534E-08 0.422E-08 0.000E+00 0.100E-10 0.939E-11
280.235 37.0 0.000E+00 0.386E-11 0.521E-08 0.246E-08 0.000E+00 0.157E-10 0.643E-11
281.495 38.0 0.000E+00 0.103E-10 0.459E-08 0.137E-08 0.000E+00 0.219E-10 0.416E-11
282.755 39.0 0.000E+00 0.242E-10 0.372E-08 0.748E-09 0.000E+00 0.280E-10 0.258E-11
284.014 40.0 0.000E+00 0.510E-10 0.283E-08 0.402E-09 0.000E+00 0.327E-10 0.157E-11
285.274 41.0 0.388E-15 0.977E-10 0.204E-08 0.214E-09 0.000E+00 0.354E-10 0.928E-12
286.534 42.0 0.242E-14 0.171E-09 0.141E-08 0.113E-09 0.000E+00 0.356E-10 0.540E-12
287.793 43.0 0.123E-13 0.272E-09 0.942E-09 0.583E-10 0.000E+00 0.335E-10 0.308E-12
289.053 44.0 0.460E-13 0.394E-09 0.612E-09 0.279E-10 0.000E+00 0.298E-10 0.170E-12
290.312 45.0 0.145E-12 0.522E-09 0.389E-09 0.604E-11 0.000E+00 0.251E-10 0.846E-13
